feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10
-0.40075	0.45172	-0.06133	-156.199	0.40748	-0.61340	-0.30992	196.543	-0.62406	-0.51247
-0.14412	118.782	217.992	-179.388	0.10161	-0.81243	-0.01603	-0.29173	-125.089	-0.23989
0.96557	0.35442	159.576	-0.77780	-0.46494	-0.08501	0.64716	-113.356	-0.35163	0.29067
0.35914	0.04076	0.14826	-115.588	-0.26467	-0.24913	-0.17646	0.71310	-0.38540	-0.08856
0.66547	0.86624	0.58039	0.55690	-0.25490	-0.15902	0.31996	0.74993	-0.40238	-0.27021
0.01780	0.73819	0.84725	-101.844	0.96194	-0.36402	128.117	108.608	-0.07013	-0.26496
-0.22736	0.17815	-0.10376	-171.546	0.30199	-0.49825	-0.21610	164.602	-0.46800	-0.35277
-0.01735	146.389	184.100	-0.70052	0.43046	-0.65069	0.58419	0.38583	-0.89210	-0.39384
0.34799	0.11829	-0.09580	-0.79676	-0.13421	-0.20959	-0.04537	111.830	-0.26910	-0.18000
-0.35283	129.225	137.013	-122.668	0.35389	-0.81423	-0.09165	0.95719	-111.826	-0.53402
0.63433	0.97870	0.92102	0.41577	-0.05613	-0.18780	0.63347	0.52729	-0.37284	-0.23539
0.70433	0.41889	0.55980	-0.19019	-0.34547	-0.11713	0.25578	0.33419	-0.31455	-0.06400
0.11172	0.58684	0.83609	-121.936	-0.09427	-0.49153	-0.16973	0.56840	-0.75408	-0.23203
0.21578	0.81708	159.410	-132.673	-0.46119	-0.59626	-0.44141	-0.30742	-114.781	-0.14147
0.66000	-0.35850	-0.61820	-0.60965	-0.05830	0.09705	0.43903	117.200	0.29702	0.00570
0.40185	0.08781	0.50011	-127.561	0.07448	-0.20078	0.45916	0.42496	-0.16623	0.00881
-0.42638	127.836	0.77855	-0.84955	0.35773	-0.79279	-0.30155	168.769	-106.482	-0.69486
0.09931	0.77578	0.80488	-0.73619	116.547	-0.27136	169.454	118.990	0.15790	-0.25696
0.20372	0.48011	0.78621	-108.937	0.98760	-0.21508	158.615	0.83814	0.19739	-0.10567
0.66175	0.72101	168.982	-0.73357	-0.25560	-0.27635	0.52854	-0.68711	-0.58021	0.06883
-0.08900	143.478	177.381	-0.82699	0.43784	-0.68544	0.48150	0.48271	-0.93056	-0.41764
-0.24324	0.61185	0.52435	-147.692	0.67788	-0.53911	0.42518	141.179	-0.42870	-0.37964
0.49464	-104.030	-147.922	-145.309	-0.60232	0.03425	-0.74710	151.294	0.07520	0.02603
0.77903	0.76231	0.85743	0.30182	-0.47717	-0.15230	0.20459	0.19511	-0.49603	-0.13384
0.45804	0.66135	119.220	-0.72556	0.20515	-0.25910	0.84001	0.11553	-0.29937	-0.05951
0.52782	0.61670	0.96620	-0.45923	0.31839	-0.16443	106.992	0.34215	-0.09436	-0.06774
0.64668	0.24019	0.89629	-0.97436	-0.70926	-0.24794	-0.30302	-0.30621	-0.66304	0.06294
-0.13620	0.97794	0.78093	-0.82323	0.75723	-0.51072	0.72924	139.210	-0.41708	-0.44828
0.33256	103.268	110.621	-0.27141	-0.55951	-0.50052	-0.52382	0.35929	-108.151	-0.33212
0.92583	0.09890	0.74840	-0.55770	-0.52187	-0.00738	0.35718	-0.34920	-0.20144	0.18395
0.58734	0.05769	0.49630	-0.99197	-0.04928	-0.10305	0.53889	0.25851	-0.08508	0.06888
-0.21073	132.130	148.418	-0.97718	0.67817	-0.67707	0.61994	0.87410	-0.77050	-0.45876
0.18061	0.49754	0.63132	-100.827	0.49989	-0.30578	0.78897	0.88947	-0.17288	-0.18692
127.227	0.90613	0.83639	159.832	0.34929	0.31124	214.399	0.33919	0.54983	-0.01248
0.84735	0.09114	-0.42371	0.37159	-0.32563	0.11231	0.32058	113.946	0.10476	-0.11314
0.13783	120.264	131.476	-0.47765	-0.21299	-0.59513	-0.24937	0.48324	-107.617	-0.39563
0.52139	0.40018	106.180	-104.781	-0.54625	-0.32728	-0.21312	-0.23923	-0.72502	0.00310
0.55902	0.31111	0.33899	-0.48979	-0.62669	-0.23055	-0.41202	0.49116	-0.59088	-0.12792
0.15801	0.47527	0.01796	-0.50154	0.79493	-0.19369	108.666	170.542	0.15652	-0.31747
0.65235	0.48159	0.63440	-0.24321	-0.37971	-0.16970	0.14101	0.31832	-0.41863	-0.09157
-0.29176	131.375	0.52068	-0.38026	-0.48216	-0.83889	-142.342	167.228	-154.811	-0.78392
0.53360	0.48865	137.524	-112.785	-0.35436	-0.32488	0.14804	-0.47714	-0.65007	0.05453
-0.00846	0.49949	0.79849	-155.257	0.10624	-0.52000	-0.04288	0.67033	-0.67834	-0.22484
-0.33708	-0.26141	-0.56551	-234.158	0.03855	-0.53476	-0.83631	178.575	-0.56467	-0.31249
-0.32957	-0.18445	0.34939	0.03982	112.556	-0.74385	-0.77385	-108.911	-0.40506	0.37692
-0.87452	0.71411	0.43429	-0.56647	0.74761	-0.84420	-0.93173	-0.19176	-0.94211	-0.38383
-103.399	0.55711	0.42406	-0.37264	0.76612	-0.60453	-0.94843	-0.48343	-0.89790	-0.23119
0.66982	164.350	-0.57239	-0.66562	0.88152	-111.463	0.50019	0.27136	-0.73032	0.22707
-0.12439	116.411	-0.05725	-0.56609	0.82513	-103.704	-0.24585	0.04449	-0.84825	-0.06240
0.23436	236.487	-0.66697	-0.91039	0.61176	-101.316	0.54903	0.76802	-111.786	-0.12142
-175.456	-0.46518	0.76809	0.26302	0.88834	0.05260	-147.999	-159.931	-0.68345	0.11303
0.81978	205.482	-0.56550	-0.96726	0.80842	-159.574	0.50223	0.88865	-0.90997	-0.07788
0.92843	0.93924	-0.31158	-0.56085	109.453	-133.783	0.22969	-0.05209	-0.44145	0.33791
-0.95808	126.372	-0.19357	-0.19650	0.65355	-0.09129	-0.20644	-0.51220	-0.99985	0.14023
-216.356	-0.32484	0.95911	0.15476	0.76835	-0.07061	-178.332	-134.335	-0.90717	-0.19948
-158.495	-0.71134	0.64578	0.52861	100.510	0.23463	-131.539	-198.620	-0.49651	0.46087
-0.01005	161.684	-0.03019	-105.758	0.69193	-132.023	-0.23002	0.66596	-102.538	-0.49068
-0.41253	0.82986	0.26434	-0.65007	0.81283	-101.232	-0.65312	-0.06034	-0.84378	-0.28128
-0.59563	0.88793	-0.09482	-0.20943	0.80447	-0.29691	-0.25963	-0.63350	-0.78150	0.22029
-169.260	-0.18779	0.66552	0.18312	0.84033	-0.03960	-135.473	-137.227	-0.77148	0.06173
0.46381	0.81503	-0.14085	-0.38350	105.426	-129.435	-0.07517	-0.16082	-0.55737	0.27985
-152.552	0.61360	0.40474	-0.09382	0.69286	-0.33921	-103.366	-0.67287	-103.811	-0.14144
0.50225	0.32873	-0.01166	-0.50788	110.023	-0.78058	-0.13657	-0.65568	-0.29400	0.30849
139.681	237.686	-0.92691	-118.539	0.81562	-143.330	107.150	0.98391	-0.78094	0.06621
0.20905	-0.14453	0.48870	-0.35781	119.480	-146.490	-0.85152	-0.53428	-0.36765	0.08280
-146.973	0.29946	0.66158	-0.08459	0.78787	-0.76828	-135.739	-0.59907	-0.99344	-0.24537
-0.77717	131.622	-0.01498	-0.28447	0.71038	-0.90991	-0.45088	0.00668	-110.463	-0.07949
-0.54727	0.41216	0.23918	-0.15710	0.93791	-0.76707	-0.68008	-0.63944	-0.69257	0.12993
-0.71046	0.88172	0.30198	-0.55625	0.75634	-0.93449	-0.76093	-0.08128	-0.95272	-0.31456
-162.415	0.91402	0.21086	-0.09375	0.60143	-0.05032	-0.80642	-0.67076	-111.959	-0.08978
-0.30758	0.26499	0.10333	-0.09279	100.973	-0.50673	-0.45397	-0.93264	-0.50548	0.36339
-0.76863	0.44288	0.29880	-0.18270	0.87744	-0.66001	-0.77908	-0.64121	-0.76554	0.03598
-0.48656	187.229	-0.21540	-0.60684	0.61905	-111.088	-0.15339	0.52613	-122.892	-0.24973
-0.61052	0.63957	0.01858	-0.22150	0.84085	-0.22065	-0.37843	-0.79829	-0.69207	0.21091
-0.27478	195.374	-0.20749	-0.88750	0.59862	-116.177	-0.09119	0.70387	-119.762	-0.40407
-158.462	0.96532	0.46996	-0.29387	0.60423	-0.76497	-114.651	-0.13779	-126.128	-0.44372
-0.78501	116.352	-0.12091	-0.30489	0.69633	-0.25562	-0.25662	-0.44095	-0.93766	0.07541
-0.16539	192.966	-0.07818	-102.698	0.61921	-150.562	-0.23556	0.94303	-121.813	-0.57218
0.25347	219.476	-0.68897	-0.71041	0.68107	-0.97980	0.55952	0.56047	-104.128	0.06124
0.66222	169.378	-0.58210	-0.76679	0.84628	-100.437	0.53327	0.28376	-0.73314	0.16956
0.46233	0.29648	0.01081	-0.34784	113.848	-0.98310	-0.21134	-0.62701	-0.32937	0.36979
-0.56545	0.82512	0.20002	-0.50060	0.79756	-0.79016	-0.60558	-0.24239	-0.85194	-0.16075
187.259	108.063	-0.74532	-0.67056	123.611	-132.258	0.93002	-0.07078	-0.14081	0.69661
0.23424	0.95743	-0.10174	-0.44612	0.96780	-123.896	-0.15516	-0.05558	-0.68089	0.14140
-198.169	-0.53403	0.85602	0.35214	0.87087	0.06890	-163.482	-165.498	-0.73827	0.08492
-112.355	-0.24577	0.42038	0.26913	0.98181	-0.07171	-0.97220	-150.778	-0.54517	0.39052
-106.321	156.233	-0.02600	-0.68449	0.50000	-0.27458	-0.38295	0.00154	-118.895	-0.36792
-108.765	-0.49675	0.77304	-0.01388	100.648	-0.46328	-137.009	-127.787	-0.53282	0.03771
0.02443	135.087	-0.37299	-0.46984	0.81579	-0.65003	0.17125	-0.15177	-0.77943	0.21006
-0.86094	-0.66207	0.83333	0.05181	111.388	-0.81440	-143.575	-122.445	-0.45727	0.09282
-181.198	-0.58149	0.66713	0.59010	0.94993	0.18162	-140.139	-188.535	-0.63020	0.40005
-116.596	-111.945	137.826	-0.02776	115.142	-131.487	-215.609	-108.799	-0.51539	-0.28494
0.00625	-0.58169	0.31034	0.09368	126.241	-0.51188	-0.63635	-150.411	-0.10625	0.62475
184.451	0.57592	-0.50430	-0.38613	139.437	-166.792	0.58512	-0.26609	-0.03868	0.80550
-0.13518	210.922	-0.50071	-0.55086	0.65733	-114.364	0.22954	0.58974	-118.075	-0.03309
-0.53708	0.95282	-0.02570	-0.32258	0.79833	-0.55388	-0.34107	-0.40417	-0.83288	0.08056
-0.83595	0.76382	0.26818	-0.34082	0.78215	-0.76291	-0.75440	-0.32864	-0.92050	-0.14436
-0.72535	-131.090	0.79068	0.30891	126.999	-0.16105	-131.104	-208.423	-0.06445	0.52851
-0.63269	118.309	-0.07302	-0.46059	0.70535	-0.43734	-0.28066	-0.27158	-0.92735	-0.03859
-0.01978	220.432	-0.28153	-101.742	0.59951	-150.961	0.02014	106.182	-125.471	-0.48198
0.25573	0.04573	-0.24395	0.14608	118.506	-0.14478	0.06972	-145.390	-0.14994	0.92453
-0.52474	0.21874	0.08370	0.04400	0.98523	-0.25289	-0.46489	-113.910	-0.51839	0.44952
-0.18441	293.652	-0.63960	-110.979	0.39525	-116.146	0.43216	130.761	-149.453	-0.50130
-0.70402	0.67998	0.39528	-0.50599	0.80721	-0.99313	-0.87536	-0.17709	-0.89317	-0.29541
-0.84358	124.684	0.23981	-0.58299	0.66733	-110.669	-0.73807	0.23991	-115.416	-0.42886
-0.59423	184.796	-0.55387	-0.40912	0.57898	-0.07278	0.29784	-0.16956	-106.166	0.16293
-0.69634	117.689	-0.08932	-0.35805	0.71202	-0.43319	-0.28721	-0.31792	-0.94411	0.02142
-0.40863	0.66160	0.24549	-0.30858	0.91573	-118.207	-0.68864	-0.21579	-0.80543	-0.04014
-0.50147	141.928	-0.03787	-0.61604	0.68668	-0.91024	-0.32914	0.18183	-104.945	-0.23265
-0.56233	0.98961	0.19799	-0.59661	0.75793	-0.92092	-0.60735	-0.03506	-0.93244	-0.27057
-118.631	0.32177	0.55758	-0.24168	0.80432	-0.63235	-114.728	-0.63087	-0.87714	-0.20945
-0.56015	0.83080	0.14680	-0.39515	0.81632	-0.78622	-0.55652	-0.29384	-0.84707	-0.06536
-0.84245	114.948	-0.02292	-0.20671	0.72600	-0.62456	-0.43156	-0.27364	-101.852	0.02888
0.12896	133.890	-0.21081	-0.70348	0.81527	-0.97688	0.00168	0.13034	-0.80618	-0.03659
-147.097	116.664	0.08711	-0.15762	0.58153	-0.18584	-0.64462	-0.45240	-117.323	-0.09803
-205.737	-0.24396	0.72043	0.29829	0.78363	0.22672	-147.661	-155.924	-0.83413	0.06301
0.26137	-0.06320	0.41970	-0.21194	122.771	-166.363	-0.80278	-0.45544	-0.40602	0.18220
0.26851	0.71110	0.07299	-0.50265	101.771	-137.685	-0.35137	-0.08051	-0.61519	0.05615
-0.40252	0.65504	0.00670	-0.23941	0.89099	-0.48130	-0.34840	-0.66038	-0.66915	0.22004
-113.767	0.81461	0.18767	-0.20894	0.71231	-0.33790	-0.69571	-0.56957	-0.96501	-0.04853
-0.37907	252.112	-0.42525	-102.163	0.44168	-103.277	0.15738	100.310	-140.323	-0.50213
0.15621	252.694	-0.64816	-0.91452	0.57775	-122.936	0.48643	0.99068	-123.979	-0.21378
0.28317	125.234	-0.18111	-0.62565	0.89262	-127.078	-0.04049	0.19589	-0.77216	0.01554
-236.222	120.798	0.61080	-0.34798	0.37619	-0.43862	-142.794	-0.06282	-156.951	-0.74943
0.52878	122.335	-0.53750	-0.49031	0.93244	-0.58321	0.47348	-0.31948	-0.54006	0.44031
-0.25606	0.90702	-0.01890	-0.38776	0.86554	-0.80940	-0.31008	-0.28849	-0.76382	0.08098
-0.30121	0.96276	0.03381	-0.35147	0.86745	-106.891	-0.41259	-0.12019	-0.84519	0.02115
-0.89718	-0.60198	0.37615	0.39666	110.270	0.15716	-0.86122	-191.979	-0.29792	0.65239
-0.21925	0.64972	0.29003	-0.40438	0.95319	-144.286	-0.71670	-0.05134	-0.78344	-0.10883
-106.988	0.04306	0.40431	0.08519	0.91936	-0.30617	-0.94984	-114.040	-0.67024	0.20556
0.11397	139.492	-0.19428	-0.61710	0.83202	-123.392	-0.05935	0.26860	-0.87414	-0.03812
-0.55032	0.46794	0.30689	-0.30819	0.90496	-0.85808	-0.74986	-0.48375	-0.73454	-0.02523
0.02095	124.143	-0.17711	-0.67084	0.80864	-0.81853	-0.04433	-0.01228	-0.78367	-0.01943
-0.84112	-0.09933	0.46857	0.13784	102.258	-0.69264	-102.213	-104.855	-0.60846	0.24159
-0.88869	-0.36137	0.35054	0.29075	105.068	-0.01532	-0.83944	-164.481	-0.40944	0.52885
-120.689	0.54214	0.31324	-0.06353	0.77953	-0.41861	-0.87542	-0.72458	-0.91064	0.00771
-149.059	-0.49118	0.76380	0.30937	0.97637	-0.34093	-146.875	-144.513	-0.64834	0.16440
-147.517	130.626	-0.06132	-0.16490	0.53774	0.09487	-0.44741	-0.53885	-116.902	-0.01957
0.15030	140.875	-0.41412	-0.56376	0.81337	-0.65118	0.25444	-0.09361	-0.75576	0.19029
-124.699	0.52308	0.33612	-0.16106	0.74850	-0.25955	-0.88027	-0.77347	-0.89361	-0.05185
-0.20278	177.822	-0.27004	-0.62822	0.69128	-114.838	-0.03306	0.46858	-110.116	-0.15113
-0.04632	257.595	-0.46774	-107.548	0.50807	-138.379	0.24192	121.330	-136.521	-0.48915
-0.02343	-0.95947	0.49489	0.19175	134.885	-0.60015	-0.86854	-169.191	-0.00602	0.65058
0.22306	215.171	-0.30750	-125.911	0.60368	-132.461	0.14988	100.983	-112.306	-0.52869
-0.38085	-0.99713	-0.90836	-199.550	0.52479	-0.03960	239.735	-0.06344	-0.03945	-0.76521
-129.125	150.265	0.68827	-160.173	0.73995	-0.17095	0.39658	0.78961	232.396	-0.98246
-100.996	-0.51300	-0.85735	-0.82529	0.55682	0.29901	118.131	0.83562	0.00962	-127.034
-245.503	0.58620	-0.36329	-148.151	117.783	-0.27222	-0.30365	173.651	164.681	-193.361
-0.67106	0.25389	-0.12501	-0.00684	0.29430	0.26391	0.51986	0.67142	0.55915	-127.077
0.44577	0.11762	0.21732	-149.401	0.11733	-0.00318	226.288	-0.65150	0.78585	-0.24947
-0.85980	0.46084	-0.14068	-0.51589	0.42233	0.48818	0.86709	0.87319	0.68876	-0.98721
-0.34925	0.69250	0.14326	-0.97714	0.29012	0.62914	161.884	0.43846	0.83254	-0.38158
-0.91991	0.20604	-0.34354	-0.98664	0.52270	0.42271	120.597	0.81473	0.59083	-0.92631
-0.77166	0.12610	-0.36249	-0.08470	0.33374	0.54132	0.78544	0.87847	0.26709	-114.897
-100.614	0.88710	0.35133	-0.62039	0.50689	-0.12794	0.15319	0.69481	154.503	-132.147
-0.64581	142.390	0.38410	0.10069	0.19443	125.721	0.87249	118.515	0.88546	-0.43188
-155.312	0.58215	-0.22691	-0.89599	0.73838	0.26571	0.39645	130.911	108.151	-133.280
-0.56450	-0.06924	-0.21666	-0.49178	0.34960	-0.07688	0.78397	0.33038	0.58464	-129.818
0.20630	126.189	0.60585	0.43017	-0.15831	118.333	126.110	0.45846	0.66303	-0.17165
-181.087	0.66142	0.01334	-228.563	107.121	-0.59426	0.46258	0.90387	202.759	-143.857
-0.89330	105.098	0.22596	0.15096	0.31177	0.71105	0.32489	112.863	0.95164	-100.958
-107.709	-0.93542	-102.802	-0.86385	0.61805	-0.14952	0.93420	0.65632	-0.03898	-166.171
-0.90767	153.802	0.61143	-0.29326	0.37405	0.59175	0.35832	102.973	155.421	-0.81081
-0.50632	175.398	0.91095	-0.11908	0.19468	0.61735	0.47080	0.72826	166.713	-0.59636
-0.92357	0.28023	-0.39453	-0.17976	0.38871	0.77899	0.88751	111.591	0.26554	-101.399
-0.93355	-0.64266	-0.86321	-135.429	0.61908	0.07982	148.728	0.57898	0.13306	-117.991
0.21019	0.98622	0.83812	-141.000	0.17480	-0.15339	157.741	-0.48390	168.401	-0.32428
-177.042	0.70227	0.04422	-135.571	0.91414	-0.46872	-0.09730	107.175	181.245	-170.243
0.30517	0.58632	0.29337	-0.28426	-0.05123	0.70431	170.037	0.01172	0.50874	-0.27205
-0.65282	106.334	0.53184	-0.35553	0.32407	0.09945	0.34989	0.54598	146.631	-105.236
-0.03709	144.542	0.71040	0.36143	-0.05731	103.105	0.93325	0.58903	0.97031	-0.33553
-194.750	0.20850	-0.34150	-151.670	102.152	-0.60100	-0.04091	112.145	150.343	-192.309
-0.18617	106.240	0.61223	-124.519	0.27667	0.24013	146.878	0.07772	147.699	-0.34840
-0.24026	0.71325	0.12319	-137.120	0.30006	0.78929	211.726	0.36384	0.79474	-0.05838
-115.180	0.37879	-0.10826	-0.16717	0.50228	-0.00377	0.00628	0.93498	0.93185	-161.411
-0.49816	0.69662	-0.00399	-0.34447	0.23822	0.94922	131.526	0.81903	0.51195	-0.51736
-0.13296	0.72183	0.28554	-0.86420	0.19825	0.52344	159.597	0.21794	0.89695	-0.36676
-0.40146	114.549	0.40196	111.745	-0.02409	0.98672	0.18149	0.98730	0.63291	-0.93242
-0.46757	196.723	0.96635	-0.23493	0.17848	0.91749	0.76106	0.83022	166.163	-0.29569
0.74235	-0.68754	-0.43661	0.82688	-0.33699	0.64807	163.370	-0.26228	-0.82925	-0.77992
-106.646	0.25237	-0.16577	-0.73371	0.56011	-0.07400	0.47193	0.73789	0.95732	-140.986
0.35146	-0.06846	-0.03274	-125.760	0.11220	0.22831	228.526	-0.42662	0.41976	-0.29138
-157.613	0.14436	-0.48594	-0.81480	0.75503	0.07547	0.31979	123.560	0.81005	-158.959
-0.06378	132.587	0.49175	-0.08133	0.00800	130.972	151.926	0.67810	0.74080	-0.02365
-0.83496	213.915	0.98251	-0.58561	0.36336	0.83357	0.61020	105.841	196.822	-0.37490
0.53886	0.53394	0.66765	-0.79236	-0.02053	-0.22435	147.566	-0.72218	119.256	-0.52980
-104.444	-143.630	-118.813	-228.796	0.85663	-0.81924	161.766	0.07149	0.22784	-159.616
-169.293	0.79893	-0.11619	-122.905	0.83372	0.23566	0.43102	137.111	136.771	-124.962
-0.94337	-108.411	-0.98718	-0.21214	0.48739	-0.36400	0.42831	0.53002	-0.14261	-201.466
0.52434	105.557	0.91326	-0.17855	-0.13726	0.19840	118.183	-0.39537	125.798	-0.40989
-0.39178	-0.22672	-0.52858	0.56687	0.10163	0.70727	0.86168	0.71978	-0.31410	-117.060
-0.11139	0.78752	0.25116	-0.97671	0.19483	0.75482	186.706	0.29737	0.80818	-0.15111
-150.737	212.183	0.83043	-0.30478	0.57976	0.59504	-0.29180	156.412	213.253	-101.361
-0.60695	-0.13758	-0.10188	-101.445	0.46657	-0.60817	0.70877	0.02648	0.99580	-145.835
-0.82334	-0.83973	-0.82759	-0.90637	0.53348	-0.25823	102.604	0.38045	0.11090	-155.152
-0.61307	-0.25826	-0.42088	-0.76996	0.40873	0.02079	110.476	0.37266	0.39559	-119.233
-0.62056	-0.05810	-0.16803	-0.82535	0.42696	-0.26933	0.81897	0.23470	0.79411	-131.327
-0.63319	0.15585	-0.38447	0.23153	0.22382	0.82003	0.88266	0.94375	0.02881	-101.862
-0.27606	-0.90158	-0.71174	-164.797	0.44205	-0.24222	201.274	-0.19780	0.12356	-0.95306
-0.58198	118.497	0.31434	-0.06382	0.21207	101.490	0.92264	0.97989	0.86553	-0.53232
-0.50041	0.41526	0.00588	0.45730	0.15200	0.44026	0.39682	0.68497	0.48504	-121.811
-0.37710	236.625	112.787	0.59728	-0.00977	144.185	0.51692	114.548	149.731	-0.16760
0.40846	-109.804	-0.83134	-0.77939	0.04072	0.41837	251.932	-0.34041	-0.73318	-0.55056
-132.735	171.173	0.57563	-0.72688	0.58643	0.59247	0.30076	133.199	182.049	-0.83247
-0.91083	0.21152	-0.27447	-0.57468	0.46465	0.29735	0.80206	0.80789	0.61434	-116.389
